Unnamed: 0,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle
row_31,3,1,0.0,0,0.75,0.25,1,-0.554199219,1.2890625,0.100097656,0.25390625,0.108032227,0.123291016
row_32,3,2,0.13,3,0.75,0.25,1,-0.607910156,1.337890625,0.109863281,0.277099609,0.112304688,0.12512207
row_33,3,3,0.13,9,0.75,0.25,1,0.161132813,1.333007813,0.100097656,0.277099609,0.1171875,0.13671875
row_34,3,5,0.17,21,0.75,0.25,1,0.112304688,1.42578125,0.178222656,0.283203125,0.130615234,0.151977539
row_35,3,6,0.19,27,0.75,0.25,1,0.139160156,1.372070313,0.170898438,0.294189453,0.119628906,0.148925781
row_36,3,7,0.2,33,0.75,0.25,1,0.378417969,1.38671875,0.1953125,0.290527344,0.128173828,0.160522461
row_37,3,8,0.23,39,0.75,0.25,1,0.285644531,1.376953125,0.190429688,0.285644531,0.133056641,0.160522461
row_38,3,9,0.23,45,0.75,0.25,1,-0.063476563,1.430664063,0.168457031,0.285644531,0.1171875,0.149536133
row_39,3,10,0.26,51,0.75,0.25,1,0.249023438,1.396484375,0.17578125,0.288085938,0.130615234,0.16418457
row_40,3,11,0.28,57,0.75,0.25,1,-0.146484375,1.42578125,0.109863281,0.299072266,0.135498047,0.161132813
row_41,3,12,0.33,63,0.75,0.25,1,-0.668945313,1.38671875,0.1171875,0.264892578,0.125732422,0.15625
row_42,3,14,0.36,69,0.75,0.25,1,0.278320313,1.357421875,0.183105469,0.207519531,0.115356445,0.136108398
row_43,3,15,0.44,75,0.75,0.25,1,-0.263671875,1.416015625,0.187988281,0.281982422,0.118408203,0.142211914
row_44,3,16,0.55,81,0.75,0.25,1,-0.300292969,1.3671875,0.187988281,0.281982422,0.133666992,0.16784668
