Unnamed: 0,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle
row_17,2,1,0.08,3,0.75,0.5,1,-0.649414063,1.3671875,0.087890625,0.307617188,0.018310547,0.123291016
row_18,2,2,0.14,9,0.75,0.5,1,-0.751953125,1.3671875,0.061035156,0.286865234,0.082397461,0.106201172
row_19,2,3,0.14,12,0.75,0.5,1,0.297851563,1.38671875,0.068359375,0.345458984,0.093383789,0.110473633
row_20,2,4,0.14,15,0.75,0.5,1,-0.556640625,1.362304688,0.087890625,0.29296875,0.092163086,0.107421875
row_21,2,5,0.15,22,0.75,0.5,1,-0.620117188,1.333007813,0.09765625,0.294189453,0.017700195,0.093994141
row_22,2,6,,24,0.75,0.5,1,0.205078125,1.376953125,0.17578125,0.3125,0.109863281,0.134277344
row_23,2,7,0.18,27,0.75,0.5,1,-0.361328125,1.381835938,0.092773438,0.305175781,0.112915039,0.129394531
row_24,2,8,0.22,33,0.75,0.5,1,0.278320313,1.372070313,0.087890625,0.283203125,0.093994141,0.114135742
row_25,2,9,0.26,39,0.75,0.5,1,-0.053710938,1.401367188,0.085449219,0.274658203,0.091552734,0.106201172
row_26,2,10,0.31,45,0.75,0.5,1,0.126953125,1.40625,0.102539063,0.286865234,0.097045898,0.10559082
row_27,2,11,0.38,51,0.75,0.5,1,-0.183105469,1.420898438,0.109863281,0.279541016,0.099487305,0.104370117
row_28,2,12,0.43,59,0.75,0.5,1,-0.183105469,1.396484375,0.100097656,0.284423828,0.100708008,0.118408203
row_29,2,13,0.48,66,0.75,0.5,1,-0.124511719,1.401367188,0.095214844,0.294189453,0.114135742,0.132446289
row_30,2,14,0.55,72,0.75,0.5,1,-0.615234375,1.362304688,0.085449219,0.281982422,0.104980469,0.123291016
