Unnamed: 0,smcAC,vib_table,AE_table
row_31,-0.554199219,0.100097656,0.108032227
row_32,-0.607910156,0.109863281,0.112304688
row_33,0.161132813,0.100097656,0.1171875
row_34,0.112304688,0.178222656,0.130615234
row_35,0.139160156,0.170898438,0.119628906
row_36,0.378417969,0.1953125,0.128173828
row_37,0.285644531,0.190429688,0.133056641
row_38,-0.063476563,0.168457031,0.1171875
row_39,0.249023438,0.17578125,0.130615234
row_40,-0.146484375,0.109863281,0.135498047
row_41,-0.668945313,0.1171875,0.125732422
row_42,0.278320313,0.183105469,0.115356445
row_43,-0.263671875,0.187988281,0.118408203
row_44,-0.300292969,0.187988281,0.133666992
