Unnamed: 0,smcAC,vib_table,AE_table
row_130,-0.15625,0.061035156,0.090332031
row_131,-0.224609375,0.065917969,0.078125
row_132,0.131835938,0.056152344,0.075073242
row_133,-0.5078125,0.053710938,0.092773438
row_134,-0.629882813,0.068359375,0.017700195
row_135,0.229492188,0.068359375,0.08605957
row_136,0.109863281,0.056152344,0.017700195
row_137,-0.610351563,0.05859375,0.109863281
row_138,0.166015625,0.087890625,0.09765625
row_139,-0.541992188,0.061035156,0.111083984
row_140,-0.715332031,0.061035156,0.100097656
row_141,-0.463867188,0.061035156,0.111083984
row_142,-0.415039063,0.065917969,0.102539063
row_143,-0.622558594,0.068359375,0.095214844
row_144,-0.610351563,0.056152344,0.09765625
