Unnamed: 0,smcAC,vib_table,AE_table
row_17,-0.649414063,0.087890625,0.018310547
row_18,-0.751953125,0.061035156,0.082397461
row_19,0.297851563,0.068359375,0.093383789
row_20,-0.556640625,0.087890625,0.092163086
row_21,-0.620117188,0.09765625,0.017700195
row_22,0.205078125,0.17578125,0.109863281
row_23,-0.361328125,0.092773438,0.112915039
row_24,0.278320313,0.087890625,0.093994141
row_25,-0.053710938,0.085449219,0.091552734
row_26,0.126953125,0.102539063,0.097045898
row_27,-0.183105469,0.109863281,0.099487305
row_28,-0.183105469,0.100097656,0.100708008
row_29,-0.124511719,0.095214844,0.114135742
row_30,-0.615234375,0.085449219,0.104980469
