Unnamed: 0,smcAC,vib_table,AE_table
row_0,-0.017089844,0.078125,0.087280273
row_1,0.307617188,0.075683594,0.086669922
row_2,-0.725097656,0.083007813,0.092773438
row_3,0.112304688,0.083007813,0.112915039
row_4,-0.122070313,0.107421875,0.095825195
row_5,0.329589844,0.070800781,0.103759766
row_6,-0.578613281,0.065917969,0.090942383
row_7,0.300292969,0.061035156,0.092773438
row_8,-0.305175781,0.065917969,0.084228516
row_9,0.21484375,0.061035156,0.087890625
row_10,-0.595703125,0.068359375,0.099487305
row_11,0.229492188,0.056152344,0.085449219
row_12,-0.595703125,0.05859375,0.096435547
row_13,0.1953125,0.102539063,0.092163086
row_14,-0.625,0.083007813,0.095825195
row_15,-0.625,0.085449219,0.076904297
row_16,0.336914063,0.080566406,0.078125
