Unnamed: 0,smcAC,vib_table,AE_table
row_94,6.41e-10,1.05e-08,4.07e-11
row_95,-0.217285156,0.063476563,0.111083984
row_96,0.102539063,0.05859375,0.126953125
row_97,-0.627441406,0.070800781,0.119628906
row_98,-0.642089844,0.070800781,0.130004883
row_99,-0.393066406,0.056152344,0.123291016
row_100,0.268554688,0.063476563,0.133666992
row_101,-0.244140625,0.068359375,0.109863281
row_102,0.021972656,0.05859375,0.096435547
row_103,0.185546875,0.061035156,0.096435547
row_104,-0.200195313,0.061035156,0.094604492
row_105,0.031738281,0.051269531,0.101318359
row_106,0.185546875,0.063476563,0.09765625
row_107,0.207519531,0.053710938,0.093994141
row_108,-0.600585938,0.05859375,0.103759766
